,date,account_value
144,2021-08-16,2313919.9065000005
145,2021-08-17,2304604.8065000004
146,2021-08-18,2299014.5065000006
147,2021-08-19,2294979.7065000003
148,2021-08-22,2313341.3065000004
149,2021-08-23,2331667.3065000004
150,2021-08-24,2342401.3065000004
151,2021-08-25,2332851.806500001
152,2021-08-26,2320887.2065
153,2021-08-29,2319418.7065000003
154,2021-08-31,2332027.1065000007
155,2021-09-01,2329274.6065000007
156,2021-09-02,2347116.6065000007
157,2021-09-05,2380270.0065
158,2021-09-06,2407038.4065
159,2021-09-07,2429689.9065000005
160,2021-09-08,2437228.806500001
161,2021-09-09,2455737.7065000003
162,2021-09-12,2496946.9065000005
163,2021-09-13,2449518.0064999997
164,2021-09-14,2415905.8065
165,2021-09-15,2427165.8065000004
166,2021-09-16,2449250.1065
167,2021-09-19,2432611.6065
168,2021-09-20,2422930.8065
169,2021-09-21,2436571.3065000013
170,2021-09-22,2431244.3065000004
171,2021-09-23,2427570.8065000004
172,2021-09-26,2419137.5065
173,2021-09-27,2425822.5065
174,2021-09-28,2423934.906500001
175,2021-09-29,2418702.3065000004
176,2021-09-30,2421285.0065000006
177,2021-10-03,2445542.6065
178,2021-10-04,2442460.506500001
179,2021-10-05,2447932.6065000007
180,2021-10-06,2455340.4065
181,2021-10-07,2443468.5065
182,2021-10-10,2454216.5065000006
183,2021-10-11,2454382.0065
184,2021-10-12,2436162.4065
185,2021-10-13,2414609.1064999998
186,2021-10-14,2411168.0065000006
187,2021-10-17,2404413.0065000006
188,2021-10-18,2380035.5065
189,2021-10-19,2364698.1065000007
190,2021-10-21,2372281.3065
191,2021-10-24,2361648.4065
192,2021-10-25,2339896.6065000007
193,2021-10-26,2351271.4065000005
194,2021-10-27,2357117.6064999998
195,2021-10-28,2368644.8065
196,2021-10-31,2376450.16385
197,2021-11-01,2367725.127650001
198,2021-11-02,2358574.8336000005
199,2021-11-03,2344832.9336
200,2021-11-04,2346017.9336
201,2021-11-07,2344564.2336000004
202,2021-11-08,2339199.4336000006
203,2021-11-09,2344090.1188500007
204,2021-11-10,2364519.418850001
205,2021-11-11,2373476.115950001
206,2021-11-14,2374576.396150001
207,2021-11-15,2377690.6947000003
208,2021-11-16,2394375.2015500003
209,2021-11-17,2391330.3015500004
210,2021-11-18,2401519.3015500004
211,2021-11-21,2368466.6015500003
212,2021-11-22,2376056.30155
213,2021-11-23,2384758.2492000004
214,2021-11-24,2375928.4516500006
215,2021-11-25,2361950.3884000005
216,2021-11-28,2343645.5884000007
217,2021-11-29,2341049.4884000006
218,2021-11-30,2311842.688400001
219,2021-12-01,2349730.3884000005
220,2021-12-02,2367783.8884000005
221,2021-12-05,2378623.688400001
222,2021-12-06,2374123.8142000004
223,2021-12-07,2385011.0142
224,2021-12-08,2378967.1815000004
225,2021-12-09,2387622.2815
226,2021-12-12,2393031.881500001
227,2021-12-13,2387527.7815000005
228,2021-12-14,2390302.881500001
229,2021-12-15,2408786.8815
230,2021-12-19,2390284.7815
231,2021-12-20,2370273.9815000007
232,2021-12-21,2381072.4815000007
233,2021-12-22,2373233.781500001
234,2021-12-23,2352637.5815000013
235,2021-12-26,2375988.081500001
236,2021-12-27,2403180.9815000007
237,2021-12-28,2421998.7815
238,2021-12-29,2438058.5815000003
239,2021-12-30,2447659.741150001
240,2022-01-02,2497657.6411500005
241,2022-01-03,2491469.5411500004
242,2022-01-04,2527336.041150001
243,2022-01-05,2551800.4411500003
