,a2c,ddpg,td3,ppo,sac,mvo
2022-12-02,2744447.884455,2498263.3226599996,1965256.6997550004,1735584.0175350104,2533186.7456900002,3001863.0099785877
2022-12-03,2744645.8444549995,2498393.3226599996,1965108.7197550004,1735752.9884300104,2533270.70569,3002094.2278424283
2022-12-05,2698346.694455,2431749.5026599998,1939701.1497550004,1684183.40931001,2488687.84569,2959033.1266424446
2022-12-06,2655308.25114,2404529.7026599995,1895841.6497550006,1654296.3908700102,2455177.905690001,2882914.7704254314
2022-12-07,2659228.8194999998,2412665.4626599997,1906781.1097550006,1669163.5221550106,2529328.58569,2878202.636902338
2022-12-08,2667331.032685,2421462.9826599997,1917148.7397550005,1671461.2171600102,2499201.8256900003,2902128.305971931
2022-12-09,2646144.7955749994,2411950.4826599997,1916553.5697550005,1660657.3389250105,2502320.7456900002,2873458.709432667
2022-12-10,2646073.4080749997,2412259.4826599997,1916731.5197550005,1660626.4244950104,2502529.08569,2873361.4267778387
2022-12-12,2697469.31443,2450826.8226599996,1967513.8997550004,1685953.6442950105,2546990.76569,2928651.712214874
2022-12-13,2722896.54616,2453638.1226599994,1987349.5697550005,1699616.6507700104,2566067.2356900005,2957056.8594477023
2022-12-14,2715529.3868649993,2414772.7426599995,1981872.5497550005,1677219.6158050105,2520983.00569,2918034.872410075
2022-12-15,2655411.208545,2357247.0026599993,1932466.2797550005,1628503.8447500104,2464765.60569,2829450.38101386
2022-12-16,2622432.57033,2336087.4626599997,1919207.5097550005,1613451.9811600102,2438424.16569,2800698.1295235706
2022-12-17,2622592.5377599993,2336194.4426599997,1919508.2597550005,1614117.7713000102,2438859.0356900007,2801335.4922505845
2022-12-19,2604511.9851499996,2320028.1826599995,1905405.6397550004,1599470.3213650102,2421814.89569,2769027.3830899447
2022-12-20,2616784.993465,2327415.6226599994,1922252.3097550005,1602015.8627300106,2441901.01569,2776958.6410092246
2022-12-21,2652230.2324199993,2363399.9426599997,1960456.7997550005,1635803.3545450105,2473093.91569,2843701.6220433535
2022-12-22,2617374.2326799994,2329788.8826599997,1911781.1397550004,1604587.098915011,2437676.57569,2766545.1865663747
2022-12-23,2624110.9726799997,2339067.0426599993,1918459.2897550005,1609403.0557150103,2447174.5456900005,2778929.538630292
2022-12-24,2623962.1826799996,2338751.3826599997,1918249.6997550004,1609187.0939600102,2446874.9656900004,2778802.770760035
2022-12-27,2620237.7226799997,2330593.6226599994,1914261.9897550005,1599677.4022450102,2440993.45569,2748770.277841742
2022-12-28,2603796.9426799994,2305839.9026599997,1901481.3397550005,1581245.1907300104,2420757.7656900007,2711130.429407278
2022-12-29,2644285.8726799996,2347363.7426599995,1931776.1197550003,1616185.6750000103,2468193.2856900003,2767418.7808412565
2022-12-30,2634684.9226799994,2349014.3426599996,1929970.3197550005,1613414.4423050103,2458110.75569,2766318.7040675012
2022-12-31,2635258.2726799995,2349532.6626599994,1929909.2197550004,1613384.5812100102,2459408.88569,2766040.0277190064
2023-01-03,2648992.6026799995,2354396.5426599993,1947353.1697550004,1635036.7199750107,2473986.31569,2761856.840065343
2023-01-04,2602301.7926799995,2393515.2426599995,1952452.6697550004,1624882.9987700104,2471610.35569,2794667.3153927336
2023-01-05,2563961.7126799994,2352720.1426599994,1930052.9697550004,1603221.8322000105,2444736.8856900004,2749973.8369162995
2023-01-06,2594572.46268,2417577.4426599997,1975767.8097550005,1648914.9883900103,2500990.86569,2825304.634837458
2023-01-07,2594264.5826799995,2418129.1226599994,1975439.8097550005,1649344.2776600104,2501100.68569,2825911.389220424
2023-01-09,2576431.90268,2420963.5426599993,1967717.2897550005,1660498.4069150104,2507748.4056900004,2840629.4021031377
2023-01-10,2590309.8250799994,2440761.8626599996,1969443.4597550004,1686395.1565450104,2530015.58569,2862616.553483993
2023-01-11,2625451.0050799996,2476231.8426599996,1998035.6697550006,1726695.0483300101,2561727.7156900004,2915057.9871766036
2023-01-12,2638771.1850799997,2489443.0426599993,2027880.0497550005,1735738.2375050106,2576361.3856900004,2937460.830759921
2023-01-13,2642592.89508,2502930.5426599993,2035282.9297550004,1756331.8895800104,2600028.35569,2957960.661715707
2023-01-14,2642315.4650799995,2502932.8826599997,2035074.4197550006,1756235.9960900107,2599477.33569,2957779.436599134
2023-01-17,2639393.59508,2471558.64266,2028944.8797550006,1734112.9472250103,2586226.32569,2944679.6408193833
2023-01-18,2587892.3850800004,2403395.6826599995,1993928.2097550004,1698257.9593800106,2536126.7656900003,2904524.5552860484
2023-01-19,2560966.72508,2359101.3426599996,1967852.1997550004,1663516.6044500102,2495979.19569,2859793.091948
2023-01-20,2607119.62508,2418578.8426599996,2013672.4597550007,1714963.8480450104,2578137.5756900003,2917289.7502431036
2023-01-21,2608001.79508,2418551.8426599996,2014155.1797550004,1715417.2518850104,2579621.88569,2917927.851184956
2023-01-23,2630945.71508,2462108.7426599995,2044565.6597550004,1747754.0355800104,2629201.71569,2995778.936153047
2023-01-24,2628093.11508,2446260.3826599997,2049252.2297550007,1717788.85378501,2641929.27569,2971863.0588268666
2023-01-25,2634341.6650799997,2452294.8226599996,2054033.3997550004,1721567.0255300105,2665501.8856900004,2977211.027418156
2023-01-26,2665660.7450799993,2471167.8626599996,2086568.2997550005,1743567.0858150101,2693988.3956900006,3000939.7651031865
2023-01-27,2667852.28508,2530438.9426599997,2082629.4797550004,1765623.7784350102,2757792.4556899997,3027588.2666844963
2023-01-28,2667756.7750799996,2530542.60266,2082420.0697550003,1765472.5483800103,2757632.4356899997,3027345.0672987076
2023-01-30,2604295.9250799995,2507092.7226599995,2058381.5797550005,1736112.4836900102,2740328.9756899998,2955418.939407381
2023-01-31,2636797.1150799994,2539890.0026599993,2090634.1397550006,1766124.3969400106,2769046.0956900003,3010623.448973085
2023-02-01,2668765.40508,2542595.0026599993,2108981.5397550007,1798175.8115100104,2776271.89569,3107590.976996443
2023-02-02,2726165.48508,2584994.8026599996,2123576.2897550007,1862657.3383750103,2782265.95569,3201761.6267779823
2023-02-03,2687698.6050799997,2582523.3226599996,2086789.9497550004,1800293.48319501,2765814.74569,3140739.609714715
2023-02-04,2688406.3850799995,2583045.3226599996,2086999.9497550004,1801010.0941150102,2765933.39569,3141738.490635163
2023-02-06,2672046.44508,2557930.8426599996,2086111.1697550004,1780992.5660000104,2750966.36569,3097654.2553738533
2023-02-07,2718814.63508,2581587.02266,2152444.9197550006,1793183.86345001,2788501.58569,3141595.9782618927
2023-02-08,2713141.0250799996,2556561.52266,2147578.0097550005,1770838.8265200101,2795331.1856899997,3104544.8614239586
2023-02-09,2674733.49508,2527556.2426599995,2126701.4597550007,1740509.6512050105,2771878.615690001,3062259.91361514
2023-02-10,2678227.42508,2531848.9426599997,2128585.0297550005,1739106.7454950104,2775506.7856900007,3050676.145516117
2023-02-11,2678448.779185,2531978.9426599997,2128793.2097550007,1739266.2738400104,2775574.72569,3050870.934553843
2023-02-13,2723414.792319999,2564910.54266,2170940.6297550006,1766687.2621600102,2815600.135690001,3097488.727789092
2023-02-14,2728126.31232,2562453.7826599996,2180511.919755,1767223.2545500107,2812936.7556900005,3118636.2513889843
2023-02-15,2703872.622319999,2571523.2626599995,2171889.1697550006,1779226.3508450103,2825396.6556900004,3121633.8114801547
2023-02-16,2663921.2623199997,2533942.3826599997,2131890.2397550005,1743094.5446150105,2796898.70569,3042373.935596318
2023-02-17,2658092.184515,2525961.2826599996,2110154.8897550004,1733024.8543500102,2765366.04569,3024575.25726276
2023-02-18,2657802.674695,2526169.9426599997,2110216.149755,1733003.2158600104,2765517.1856899997,3024911.4431887865
2023-02-21,2607011.859825,2464387.6826599995,2056452.7797550005,1682529.62332501,2692577.0856899996,2951521.9665845856
2023-02-22,2604347.5182549995,2471361.04266,2053307.2397550005,1683023.3227400105,2691461.99569,2960157.712073228
2023-02-23,2619288.850315,2479910.9426599997,2066965.0797550003,1683942.5373000102,2679739.58569,2990825.3757857494
2023-02-24,2588035.6740449993,2464289.0426599993,2020995.9897550005,1668680.2243600106,2672362.1456900006,2932784.0977379964
2023-02-25,2587622.9092549994,2464391.0426599993,2020874.7297550004,1668515.4159450105,2672387.17569,2932409.6533616725
2023-02-27,2591145.384425,2468970.3826599997,2037041.8397550005,1675049.7275450102,2692524.63569,2948070.9696823508
2023-02-28,2580479.0086600003,2477448.7026599995,2042920.9397550006,1681242.5808000104,2704275.8356900006,2942536.3920231494
2023-03-01,2560444.136155,2466031.1626599994,2044779.9497550004,1678214.0989750107,2715664.64569,2921489.259220139
2023-03-02,2573342.1661549998,2445921.8226599996,2066889.1297550006,1675945.4368050103,2705451.92569,2942905.584884464
2023-03-03,2611991.023145,2497184.02266,2105410.3097550003,1708407.0846950102,2751212.69569,3008267.367600408
2023-03-04,2611947.173145,2497079.02266,2105199.1597550004,1708356.4135050105,2751209.6356900004,3008083.5978182377
2023-03-06,2628191.193145,2494762.5826599994,2099079.2997550005,1697285.7775450104,2746375.53569,3013083.9259576583
2023-03-07,2590946.201585,2432214.8426599996,2056286.4397550004,1665348.4277850103,2672755.06569,2986302.950658562
2023-03-08,2580626.6802399997,2428737.9226599997,2046963.7797550005,1670581.86170001,2666031.3656900004,3013991.47107314
2023-03-09,2549178.616835,2361473.9226599997,1997605.0097550005,1635830.5521750106,2609746.40569,2960035.461738861
2023-03-10,2532559.9841150003,2332259.0626599994,1971870.8997550006,1614074.3856800103,2533266.6356900004,2929711.3276740974
2023-03-11,2532345.4219549997,2331759.06266,1971663.2497550005,1613592.7585600105,2532643.3656900004,2929074.1241711318
2023-03-13,2524006.901955,2280617.4426599997,1931819.1997550004,1554931.05752001,2396337.70569,2936102.631448404
2023-03-14,2573941.721955,2322814.7426599995,1985339.6797550006,1595238.10633001,2481181.11569,3012113.386965068
2023-03-15,2573623.101955,2278241.1826599995,1944528.9497550004,1587552.4525900101,2403796.6356900004,3021183.5584604032
2023-03-16,2629178.48428,2333461.3626599996,2006107.6097550006,1637349.1831450101,2454139.61569,3122858.7009135885
2023-03-17,2611124.4059999995,2272920.6626599994,1983158.9797550007,1605554.8296900103,2373714.96569,3105226.6568020685
2023-03-20,2595600.241365,2300442.9226599997,1983233.3597550006,1603951.4141300104,2405204.15569,3117078.645900982
2023-03-21,2619411.3757499997,2354609.3226599996,2012570.0297550003,1639133.0564550103,2489767.14569,3140393.7594269374
2023-03-22,2574465.72716,2296129.3226599996,1958575.3397550005,1597742.7308600103,2417108.3356900006,3104292.6267404025
2023-03-23,2595612.971495,2287299.3826599997,1968935.1497550006,1593751.9630100103,2403919.77569,3129781.0321648666
2023-03-24,2616441.381654999,2283900.2626599995,1975064.6197550003,1592284.8019350104,2381374.3656900004,3120235.550643799
2023-03-27,2619374.056285,2302749.1826599995,1984789.9997550005,1608964.6602150104,2425118.48569,3107504.497654184
2023-03-28,2608786.959995,2295117.8226599996,1996056.0097550005,1605388.54392001,2414096.0056900005,3087366.567493827
2023-03-29,2648090.6099949996,2343041.0226599993,2033548.2597550005,1646778.50634001,2478235.2656900007,3144519.7647071416
2023-03-30,2660388.469995,2345184.9426599997,2054159.7897550005,1654050.3444750104,2479725.2656900003,3179556.159990846
2023-03-31,2695180.359995,2376087.5826599994,2078075.9497550004,1677101.1647250105,2511652.7656900003,3211789.4740641415
2023-04-03,2700968.299995,2367271.5426599993,2081364.5297550005,1670989.0948750102,2508156.19569,3208902.2649916816
2023-04-04,2700009.409995,2347992.2426599995,2068666.0497550005,1658835.1206600105,2486127.2456900007,3206587.08720785
2023-04-05,2724957.2499949997,2325581.6626599994,2051482.1297550006,1641255.9166300104,2487467.9256900004,3172731.896732643
2023-04-06,2751254.514115,2326108.10266,2083172.4097550004,1647238.6799600106,2490742.87569,3182007.847627445
2023-04-10,2742404.60396,2330283.0826599994,2081259.9297550004,1658915.8111000103,2516340.08569,3192630.0907728244
2023-04-11,2720514.2432700004,2331544.02266,2072809.0897550005,1656531.0000600105,2531754.5356900003,3168587.460473047
2023-04-12,2716853.0932699996,2309269.9426599997,2072454.0297550005,1640938.1469050103,2514099.71569,3137963.2073003855
2023-04-13,2759943.4132699994,2354952.7426599995,2099753.8097550003,1675579.4938750106,2542300.0456900005,3200002.7685042424
2023-04-14,2758984.84327,2383530.8626599996,2062807.1297550006,1682125.2184850103,2568044.0756900003,3182394.8428472234
