,date,account_value
57,2021-03-25,2077778.7807000005
58,2021-03-28,2078632.9230000007
59,2021-03-29,2101457.3883
60,2021-03-31,2067567.0538000006
61,2021-04-01,2068560.3706000007
62,2021-04-04,1984756.6884000006
63,2021-04-05,2014419.468400001
64,2021-04-06,2034331.4224500007
65,2021-04-07,2071409.536600001
66,2021-04-08,2052715.3861000007
67,2021-04-11,2011726.2532000009
68,2021-04-12,2014251.9397500006
69,2021-04-13,2031740.126900001
70,2021-04-15,2043476.410650001
71,2021-04-18,2033422.0106500005
72,2021-04-19,2036249.0106500008
73,2021-04-20,2063047.8106500003
74,2021-04-21,2065130.6106500002
75,2021-04-22,2068526.4106500004
76,2021-04-25,2082770.710650001
77,2021-04-26,2080378.1106500009
78,2021-04-27,2056869.4106500007
79,2021-04-28,2060531.5106500003
80,2021-04-29,2060722.6106500006
81,2021-05-02,2079964.7106500005
82,2021-05-03,2066402.8106500006
83,2021-05-04,2080613.1106500004
84,2021-05-05,2087510.4106500007
85,2021-05-06,2102596.2106500007
86,2021-05-09,2120701.910650001
87,2021-05-11,2146118.110650001
88,2021-05-12,2135910.410650001
89,2021-05-16,2127250.1106500006
90,2021-05-17,2133152.610650001
91,2021-05-18,2119752.2106500007
92,2021-05-19,2111419.010650001
93,2021-05-20,2104653.810650001
94,2021-05-23,2096914.7106500003
95,2021-05-24,2111838.1106500006
96,2021-05-25,2112325.010650001
97,2021-05-27,2121105.510650001
98,2021-05-30,2112351.010650001
99,2021-05-31,2113610.110650001
100,2021-06-01,2128944.3106500003
101,2021-06-02,2135944.410650001
102,2021-06-03,2136954.0106500005
103,2021-06-06,2126721.7106500007
104,2021-06-07,2106318.210650001
105,2021-06-08,2113852.910650001
106,2021-06-09,2107429.310650001
107,2021-06-10,2092799.6106500004
108,2021-06-13,2078734.9106500007
109,2021-06-14,2078050.4106500007
110,2021-06-15,2095428.2106500005
111,2021-06-16,2096830.0106500008
112,2021-06-17,2110536.710650001
113,2021-06-20,2124297.910650001
114,2021-06-21,2122323.810650001
115,2021-06-22,2121322.6106500006
116,2021-06-23,2096488.7106500005
117,2021-06-24,2098761.7106500007
118,2021-06-27,2085790.3106500006
119,2021-06-28,2087446.8106500003
120,2021-06-29,2085810.6106500009
121,2021-06-30,2098136.7106500007
122,2021-07-05,2100572.510650001
123,2021-07-06,2100023.310650001
124,2021-07-07,2102861.810650001
125,2021-07-08,2121727.7106500007
126,2021-07-12,2179595.110650001
127,2021-07-13,2181605.010650001
128,2021-07-14,2165517.8106500013
129,2021-07-15,2178686.610650001
130,2021-07-18,2208284.7106500007
131,2021-07-19,2192384.8106500013
132,2021-07-25,2139657.6106500006
133,2021-07-26,2126965.910650001
134,2021-07-27,2119379.1106500006
135,2021-07-28,2125552.210650001
136,2021-07-29,2123809.3106500013
137,2021-08-02,2124755.810650001
138,2021-08-03,2132006.510650001
139,2021-08-05,2146657.7106500007
140,2021-08-09,2166082.310650001
141,2021-08-10,2173730.5106500005
142,2021-08-11,2173627.7106500007
143,2021-08-12,2189856.7106500007
144,2021-08-16,2200919.9106500004
145,2021-08-17,2181370.4106500004
146,2021-08-18,2181848.3106500013
147,2021-08-19,2177947.7106500007
148,2021-08-22,2192577.2106500007
149,2021-08-23,2211860.810650001
150,2021-08-24,2226336.2106500007
151,2021-08-25,2217187.5106500005
152,2021-08-26,2203314.1106500006
153,2021-08-29,2212573.5106500005
154,2021-08-31,2214283.510650001
155,2021-09-01,2216604.910650001
156,2021-09-02,2234080.9106500014
157,2021-09-05,2288347.2106500007
158,2021-09-06,2326936.810650001
159,2021-09-07,2375278.610650001
160,2021-09-08,2420374.9106500014
161,2021-09-09,2428075.310650001
162,2021-09-12,2439566.6106500006
163,2021-09-13,2360739.110650001
164,2021-09-14,2331858.910650001
