date,a2c,ddpg,td3,ppo,sac,mvo
2021-08-02,2233738.0463000005,2204493.2030999996,1873809.90205,2012778.2204499939,1885206.3124499999,1980129.9152727728
2021-08-03,2243190.8463,2208388.6031,1880316.1020499999,2014471.5631999937,1890791.3124499999,1982102.679979118
2021-08-05,2248333.9463000004,2214258.7030999996,1892106.3020499998,2016552.4997999938,1892178.4124499997,1983100.1181615575
2021-08-09,2243069.0463,2216283.603099999,1907718.90205,2017304.4288999937,1884244.3124499999,1987279.464433664
2021-08-10,2257859.2462999998,2227571.603099999,1908493.3020499998,2019119.2552999938,1891656.5124499996,2002745.6276011616
2021-08-11,2260828.3463,2223023.4030999998,1902733.0020499998,2021969.375249994,1889594.0124499998,1998097.3171271656
2021-08-12,2269478.5463,2226570.1031,1916545.7020499997,2022737.485149994,1886825.81245,2004084.9366198261
2021-08-16,2275350.4463,2230510.7030999996,1922076.20205,2023064.592349994,1886464.6124499997,2008127.4389649867
2021-08-17,2264238.3463,2216118.3030999997,1911112.90205,2024988.9983999943,1885621.61245,2000292.7742919456
2021-08-18,2262509.6462999997,2213161.4030999998,1911642.6020499999,2028036.2977999945,1882399.8124499999,2008101.0276507675
2021-08-19,2256269.5463,2203150.9030999998,1906510.3020499998,2031530.7867499946,1876331.1124499997,2004882.8620945457
2021-08-22,2272984.2462999998,2215416.9030999998,1918503.7020499997,2049405.063799994,1888470.61245,2012670.2010622718
2021-08-23,2275312.9463,2226494.2030999996,1933694.5020499998,2054302.980449994,1895428.2124500002,2022669.1792314898
2021-08-24,2273409.0463,2227583.4030999993,1951840.0020499998,2072208.7806499943,1900694.4124499997,2034696.8175189327
2021-08-25,2268323.3463000003,2225924.4030999993,1945272.3020499998,2060517.1211499944,1893322.6124499997,2022123.925473263
2021-08-26,2263401.4463,2220817.8030999997,1935508.3020499998,2060634.5003499943,1892003.11245,2015004.9271666028
2021-08-29,2257941.0462999996,2220023.8030999997,1948387.0020499998,2077934.579149994,1890037.0124499996,2020185.1486431295
2021-08-31,2260425.3463000003,2216016.5030999994,1955274.1020499999,2081995.901399994,1890055.8124499999,2023247.060837149
2021-09-01,2256863.7463,2210936.4030999998,1958066.40205,2075264.6104499942,1883701.21245,2017599.2511516376
2021-09-02,2258651.1462999997,2220471.4030999993,1977271.0020499998,2080813.9411999942,1881403.9124499995,2024364.7576826746
2021-09-05,2307884.9463000004,2264158.4030999993,2031388.0020499998,2137298.254149994,1926634.9124499997,2069413.5627180932
2021-09-06,2319136.7463,2285531.6030999995,2066488.40205,2179621.987199994,1942807.2124499998,2102829.238594997
2021-09-07,2338988.8463,2310652.9030999998,2126815.70205,2229622.8862999943,1982067.8124499999,2157301.6154813785
2021-09-08,2346235.2462999998,2314998.803099999,2172668.00205,2268450.1281499937,1983499.7124499998,2180671.028209831
2021-09-09,2352600.8463000003,2341676.0030999994,2179623.70205,2250042.948649994,1992165.2124499998,2203974.1870416673
2021-09-12,2424217.5463,2429138.4030999993,2187174.2020499995,2267841.926299994,2060673.0124499998,2269092.2739112712
2021-09-13,2451406.0463,2470486.2030999996,2119161.80205,2283044.948999994,2122976.11245,2284892.9694085508
2021-09-14,2420696.2462999998,2412893.1030999995,2086374.50205,2241646.4250499937,2083016.6124499997,2223757.950477058
2021-09-15,2456644.8463000003,2444013.4030999998,2095341.2020499997,2255056.127299994,2107612.41245,2241569.9698041305
2021-09-16,2435668.3463,2434513.3030999997,2142984.4020499997,2275286.6888999944,2065925.4124499997,2250135.131539705
2021-09-19,2390581.1462999997,2416261.7030999996,2142101.10205,2241063.489549994,2003768.41245,2238937.6637341357
2021-09-20,2387318.4463,2402726.7030999996,2121736.60205,2221621.0926499935,1997731.1124499997,2228416.689544858
2021-09-21,2399431.1463,2399793.7031,2133431.60205,2233547.753599994,2007201.3124499999,2224780.706044361
2021-09-22,2399185.0463,2394147.6030999995,2117056.7020499995,2233219.979249994,2012500.7124499998,2215386.40096204
2021-09-23,2412294.2463,2400965.0031,2118700.60205,2248211.905849994,2032297.41245,2218766.4108630936
2021-09-26,2416227.8463000003,2391796.1030999995,2106709.70205,2259868.688599994,2037315.2124499998,2209204.9609586806
2021-09-27,2419086.4463,2392365.4030999998,2105560.80205,2262528.0374499937,2039791.71245,2208112.1991120297
2021-09-28,2418254.2462999998,2388421.6030999995,2095847.1020499999,2259721.778599994,2043459.51245,2201560.23909875
2021-09-29,2412537.8463,2382154.2030999996,2093897.0020499998,2255901.9277999937,2041228.4124499997,2193759.852290448
2021-09-30,2405825.5463,2384254.8030999997,2096178.6020499999,2253450.6878999937,2037499.6124499997,2199395.6110139727
2021-10-03,2412532.9463,2395708.5030999994,2110827.4020499997,2260437.3549499935,2047809.3124499999,2225355.707813359
2021-10-04,2413614.9463,2400245.9030999993,2125277.9020499997,2261981.102249994,2041202.11245,2242273.814435832
2021-10-05,2412447.1463,2400451.3030999997,2120961.00205,2253795.9451999934,2034964.61245,2233250.6496730433
2021-10-06,2391632.9463,2375636.1030999995,2122622.50205,2245547.1109999935,2019105.5124499998,2215284.2290716004
2021-10-07,2382205.5463000005,2373684.3030999997,2117667.9020499997,2240057.9996999935,2014027.3124499999,2208707.214411686
2021-10-10,2400183.4463000004,2395669.6030999995,2132213.7020499995,2252429.2035499937,2036991.8124499999,2225341.97591673
2021-10-11,2398459.4463000004,2388395.0031,2123295.50205,2253833.473399994,2034495.21245,2222000.868139237
2021-10-12,2395748.2463,2376405.0030999994,2113891.4020499997,2264739.839399994,2038349.51245,2209583.3143878975
2021-10-13,2383675.3463000003,2372619.8031,2108694.10205,2251877.4757499937,2034003.5124499998,2202705.984070707
2021-10-14,2389469.3463,2371307.4030999998,2100592.5020500002,2255034.646849994,2039264.8124499999,2192681.9649604964
2021-10-17,2387911.6463,2360231.6030999995,2104668.4020499997,2244632.609449994,2036235.71245,2196758.760645535
2021-10-18,2375272.0463,2333019.7030999996,2077787.0020499998,2235434.599849994,2023297.7124499995,2166287.5652262494
2021-10-19,2374460.9463000004,2326943.8030999997,2064403.7020499997,2232405.814699994,2018299.2124499998,2155693.405149186
2021-10-21,2389014.2463,2325903.1030999995,2057029.40205,2233997.037549994,2012457.3124499999,2149149.6799806384
2021-10-24,2394722.6463,2295772.6030999995,2056659.7020499997,2255097.7561999937,2002527.1124499997,2121664.680636575
2021-10-25,2381565.5463000005,2274520.2030999996,2024908.3020499998,2234222.519599994,1990000.0124499996,2093042.8160066213
2021-10-26,2383229.1463000006,2287972.3030999997,2036030.8020499998,2243771.237349994,2004391.3124499996,2115414.3561125584
2021-10-27,2387696.1463,2288875.5031,2032401.1020499999,2247180.830349994,1995317.91245,2111525.5321175084
2021-10-28,2413336.6463,2303471.2030999996,2033734.5020499998,2267183.014549994,2006358.8124499999,2118075.913981691
2021-10-31,2455679.3463000003,2337259.4030999998,2004781.90205,2278859.7474499936,2055177.7124499995,2125398.631713701
2021-11-01,2444305.3463000003,2331387.5030999994,2014782.90205,2282262.9505499937,2046501.71245,2128648.744642481
2021-11-02,2425359.5463000005,2318941.803099999,2003896.90205,2269170.2449999936,2026966.5124499996,2111897.096614859
2021-11-03,2435582.3463,2327246.1030999995,1984092.6020499999,2274816.9724999936,2031987.7124499998,2106762.6427615704
2021-11-04,2448653.3463000003,2330374.1030999995,1979305.1020499999,2281932.085799994,2039963.4124499997,2107747.775843761
2021-11-07,2456423.2463,2326872.6030999995,1984041.6020499999,2283695.981299994,2054482.51245,2105473.5195292984
2021-11-08,2465255.3463,2326483.4030999998,1968415.70205,2287306.8723999937,2057457.8124499996,2096483.6377300448
2021-11-09,2466147.0462999996,2328742.1030999995,1969754.6020499999,2288459.054549994,2056403.41245,2094902.9997256955
2021-11-10,2476247.8463,2335038.1030999995,1986170.50205,2295165.733849994,2059685.51245,2107873.085170973
2021-11-11,2466333.3463,2322208.7030999996,1989648.2020499997,2284951.796699994,2040743.7124499998,2095737.888249467
2021-11-14,2452398.3463,2311989.3030999997,1979906.1020499999,2268219.6844499935,2028108.11245,2082017.1975841294
2021-11-15,2430225.4463000004,2290945.6030999995,1986636.0020499998,2249853.9127999935,2006687.1124499997,2076279.5906859667
2021-11-16,2422482.6463,2282379.0031,2001100.30205,2240177.0854999935,1996154.7124499998,2070268.04231238
2021-11-17,2426353.6462999997,2292357.6031,1997955.0020499998,2245815.281449994,2003145.4124500002,2077270.432377201
2021-11-18,2433428.6463,2293562.4030999998,2006978.3020499998,2235499.463899994,2005646.8124499996,2085799.571168221
2021-11-21,2454953.7462999998,2298253.9030999998,2010918.50205,2246994.1708999937,2021069.61245,2080259.4748741512
2021-11-22,2467049.7462999998,2311526.803099999,2012604.2020499997,2268888.950649994,2031353.81245,2088700.2698195372
2021-11-23,2472946.3463,2316859.8030999997,2004183.0020499998,2265305.678749994,2042384.7124499998,2087515.6162955184
2021-11-24,2458155.6463,2306785.0031,2001518.20205,2259587.015249994,2029287.51245,2080641.2820600267
2021-11-25,2444082.0463000005,2295690.1030999995,1996402.5020499998,2251928.165099994,2021536.7124499998,2072759.7154270592
2021-11-28,2418966.8463,2280236.203099999,1980427.70205,2232764.132749994,2002845.8124499999,2062030.9240746228
2021-11-29,2406467.2462999998,2278202.1030999995,1983673.90205,2234473.644749994,1998700.21245,2064839.699541471
2021-11-30,2398388.3463000003,2270272.1030999995,1969628.90205,2229585.6527999938,1998590.6124499997,2047377.6582840635
2021-12-01,2442972.7462999998,2298962.0031,1988073.3020499998,2267730.672049994,2029196.9124499997,2066247.3997285562
2021-12-02,2455513.6463,2312936.6030999995,1998050.9020499997,2275029.8041999936,2037914.2124499998,2074994.4756298906
2021-12-05,2455824.5463,2319883.9030999993,2003858.0020499998,2274582.919749994,2042895.1124499997,2085862.1135998047
2021-12-06,2464088.9463000004,2327987.0031,2009696.1020499999,2292932.861899994,2062302.5124499998,2095473.7222868837
2021-12-07,2480498.9463,2352472.6030999995,2016766.3020499998,2299932.1766999937,2070533.6124499997,2114924.8970912304
2021-12-08,2469079.4463,2355075.9030999998,2012638.2020499997,2293039.5700999936,2069994.61245,2114857.0981329978
2021-12-09,2515760.2463,2409791.3030999997,2022088.6020499999,2344510.477199994,2130933.61245,2154727.3494041646
2021-12-12,2569038.9463,2482968.5030999994,2047154.0020499998,2403740.9843999934,2190596.4124499997,2218673.4671592186
2021-12-13,2608688.7463,2492214.8030999997,2016939.0020499998,2417013.3959499937,2245120.5124499993,2202438.604499528
2021-12-14,2663793.0463,2567753.1031,2047219.90205,2505259.1287999935,2305853.01245,2261377.5924561373
2021-12-15,2728126.9462999995,2636025.1031,2056925.50205,2553059.3308499935,2371315.3124499996,2306310.8754709577
2021-12-19,2692842.5463000005,2601372.9030999998,2034419.40205,2531010.546149994,2335947.8124499996,2279444.8966825586
2021-12-20,2654162.4463000004,2560891.5031,2016833.3020499998,2483094.1923999935,2298941.11245,2241278.819222729
2021-12-21,2615420.0463,2539761.3031,2013474.80205,2435008.7467499943,2259850.1124499994,2230219.8201363897
2021-12-22,2568980.3463000003,2489352.3030999997,2009036.1020499999,2398629.549149994,2207258.51245,2196526.2393262004
2021-12-23,2538107.6463,2458824.2030999996,1996588.70205,2357502.355299994,2176605.21245,2172673.568354185
2021-12-26,2586610.9463,2491525.6030999995,1993210.5020499998,2407233.567749994,2230646.11245,2181902.6715550935
2021-12-27,2605017.6463,2500559.303099999,1993842.80205,2420876.3622999936,2245925.9124499992,2186155.984109119
2021-12-28,2562035.5463000005,2474307.0031,2004992.3020499998,2393763.177149994,2216409.7124499995,2178915.8635646324
2021-12-29,2597520.7463000007,2502604.3030999997,2016063.90205,2455987.832599994,2255058.61245,2194517.257475287
2021-12-30,2609651.4463000004,2518417.4030999993,2042136.90205,2516637.129449994,2269811.8124499996,2215984.2014838075
2022-01-02,2644882.0463,2559798.2030999996,2044514.00205,2523311.9006999936,2305088.21245,2245951.3853059895
2022-01-03,2608124.3463,2517825.4030999993,2039681.2020499997,2474480.321649994,2262272.5124499993,2218969.7584976186
2022-01-04,2590170.0463000005,2511282.2030999996,2036291.50205,2458458.7885999936,2253676.31245,2208054.3940088595
2022-01-05,2615165.8463,2529111.2030999996,2035293.70205,2485942.501049994,2292926.71245,2215082.5323129697
2022-01-06,2599196.7462999998,2517542.7030999996,2045875.5020499998,2478055.280399994,2281032.81245,2214754.980296321
2022-01-09,2614133.7463,2536522.5031,2052004.3020499998,2485974.247549994,2302570.71245,2223934.736774129
2022-01-10,2610880.4463,2537351.2030999996,2058753.1020499999,2495782.2203499936,2309560.31245,2222680.207586118
2022-01-11,2620020.5463000005,2553288.8030999997,2078135.90205,2507904.4823999936,2319620.0593499998,2236427.202697374
2022-01-12,2617072.7463000007,2561063.6030999995,2066225.40205,2491488.534899994,2306745.15935,2249402.673851133
2022-01-13,2640149.3463,2599790.5031,2080259.1020499999,2524046.0560999936,2342433.0593499993,2269562.148162785
2022-01-16,2649616.6462999997,2632852.3030999997,2084519.5020499998,2542892.8572999933,2368580.3593499996,2292816.2039918257
2022-01-17,2649401.1462999997,2625380.5030999994,2092890.50205,2539416.460899993,2363898.0593499993,2284567.6645915387
2022-01-18,2651248.3463000003,2630744.2030999996,2094305.20205,2534125.5637499937,2370031.25935,2291596.0207429314
2022-01-19,2650859.5462999996,2636088.9030999998,2097197.20205,2534785.5684999935,2364876.7593499995,2300457.436859005
2022-01-20,2664264.3463000003,2670244.1030999995,2102751.20205,2543979.582049994,2366528.459349999,2328451.327972951
2022-01-23,2676198.5462999996,2706451.2030999996,2117107.2020499995,2564970.0490999934,2373886.65935,2367464.97810237
2022-01-24,2693016.4463,2718033.2030999996,2124609.60205,2602704.8168999935,2398067.65935,2384426.75614742
2022-01-25,2708096.1462999997,2715693.6030999995,2109437.9020499997,2605701.228449993,2406144.05935,2377659.416800405
2022-01-26,2676614.1463,2669697.8031,2092465.50205,2573828.9486499936,2369092.65935,2336151.187095091
2022-01-27,2655641.5463,2647713.6030999995,2085485.5020499998,2559063.672949993,2358308.25935,2311571.223031332
2022-01-30,2664938.3463,2668911.7030999996,2087584.80205,2548137.0965999938,2362561.7593499995,2323319.7198306927
2022-01-31,2656755.5463,2656794.5031,2084779.40205,2532969.4946999936,2354275.65935,2311607.008374032
2022-02-01,2663529.4463000004,2649427.303099999,2089893.2020499997,2544552.3986499934,2365918.15935,2295224.832542812
2022-02-02,2662526.1463,2646388.3030999997,2106582.9020499997,2565496.298999994,2361148.55935,2295447.810787619
2022-02-03,2665058.6463,2646774.2031,2096641.8020499998,2545899.7996499934,2363498.25935,2291859.21864992
2022-02-06,2663086.4463,2653421.5030999994,2111586.4020499997,2551179.098449993,2377351.4593499997,2302300.3895588974
2022-02-07,2658495.046300001,2644609.1030999995,2093548.00205,2544182.9990999936,2368474.25935,2289221.6705398476
2022-02-08,2662318.9463,2639235.5030999994,2094342.5020499998,2541431.9348999937,2359572.65935,2285707.9173621414
