,date,account_value
65,2017-04-07,2247592.8721500007
66,2017-04-10,2264589.272150001
67,2017-04-11,2280068.4721500003
68,2017-04-12,2284245.0221500006
69,2017-04-13,2300867.922150001
70,2017-04-17,2289230.5221500006
71,2017-04-18,2286274.3721500007
72,2017-04-19,2289794.3721500007
73,2017-04-20,2307877.7221500007
74,2017-04-21,2312871.4721500007
75,2017-04-24,2342225.572150001
76,2017-04-25,2371600.572150001
77,2017-04-26,2379869.9721500007
78,2017-04-27,2384379.272150001
79,2017-04-28,2346888.072150001
80,2017-05-02,2381207.6221500007
81,2017-05-03,2374364.2221500007
82,2017-05-04,2371181.322150001
83,2017-05-05,2357235.2721500006
84,2017-05-08,2343394.1221500007
85,2017-05-09,2337859.1721500005
86,2017-05-10,2374851.0721500004
87,2017-05-11,2383533.872150001
88,2017-05-12,2382050.6221500007
89,2017-05-15,2375785.4721500007
90,2017-05-16,2387527.9721500007
91,2017-05-17,2373332.7221500003
92,2017-05-18,2351200.4721500007
93,2017-05-19,2336709.7721500006
94,2017-05-22,2339602.072150001
95,2017-05-23,2328239.422150001
96,2017-05-24,2334055.6721500005
97,2017-05-25,2371464.922150001
98,2017-05-26,2398063.5221500006
99,2017-05-29,2401566.3221500004
100,2017-05-30,2382553.672150001
101,2017-05-31,2389116.5221500006
102,2017-06-01,2384579.4721500003
103,2017-06-02,2384200.9721500007
104,2017-06-05,2431403.0221500006
105,2017-06-06,2413808.072150001
106,2017-06-07,2412622.6221500007
107,2017-06-08,2415165.2221500007
108,2017-06-09,2423978.4221500005
109,2017-06-12,2420316.3721500007
110,2017-06-13,2431646.072150001
111,2017-06-14,2419019.7221500007
112,2017-06-15,2390941.1221500007
113,2017-06-16,2393371.3721500007
114,2017-06-19,2401649.4221500005
115,2017-06-20,2397012.272150001
116,2017-06-21,2391801.8221500004
117,2017-06-22,2390476.0221500006
118,2017-06-23,2367735.2221500003
119,2017-06-27,2349077.3721500007
120,2017-06-28,2341421.0221500006
121,2017-06-29,2348415.9721500007
122,2017-06-30,2363809.322150001
123,2017-07-03,2383196.2221500007
124,2017-07-04,2393891.322150001
125,2017-07-05,2391024.272150001
126,2017-07-06,2398557.322150001
127,2017-07-07,2400426.022150001
128,2017-07-10,2414868.2221500007
129,2017-07-11,2425887.6721500005
130,2017-07-12,2431465.3721500007
131,2017-07-13,2242848.0221500006
132,2017-07-14,2240198.672150001
133,2017-07-17,2250064.7221500007
134,2017-07-18,2250443.4721500007
135,2017-07-19,2250184.2721500006
136,2017-07-20,2253786.9221500005
137,2017-07-21,2251992.072150001
138,2017-07-24,2260732.6721500005
139,2017-07-25,2262328.6221500007
140,2017-07-26,2274992.322150001
141,2017-07-27,2321151.8721500007
142,2017-07-28,2327823.0221500006
143,2017-07-31,2329049.6221500007
144,2017-08-01,2344807.2221500007
145,2017-08-02,2343882.4221500005
146,2017-08-03,2334547.0221500006
147,2017-08-04,2389475.4221500005
148,2017-08-07,2397297.2721500006
149,2017-08-08,2365107.7721500006
150,2017-08-09,2351215.2221500007
151,2017-08-10,2320856.4221500005
152,2017-08-11,2308242.6721500005
153,2017-08-14,2333103.5221500006
154,2017-08-16,2360389.522150001
155,2017-08-17,2362840.8721500007
156,2017-08-18,2353895.6221500007
157,2017-08-21,2339032.7721500006
158,2017-08-22,2358107.0221500006
159,2017-08-23,2370627.2221500007
160,2017-08-24,2365864.1721500005
161,2017-08-28,2374160.522150001
162,2017-08-29,2341578.322150001
163,2017-08-30,2385493.172150001
164,2017-08-31,2404983.5221500006
165,2017-09-01,2401137.9221500005
166,2017-09-04,2388903.3721500007
167,2017-09-05,2414357.922150001
168,2017-09-06,2411816.822150001
169,2017-09-07,2408348.4221500005
170,2017-09-08,2404535.0221500006
171,2017-09-11,2422494.9221500005
172,2017-09-12,2460381.5221500006
173,2017-09-13,2428080.2221500003
174,2017-09-14,2432770.7721500006
175,2017-09-15,2433474.7221500007
176,2017-09-18,2447065.8221500004
177,2017-09-19,2439752.9721500007
178,2017-09-20,2423796.1721500005
179,2017-09-21,2422584.4721500003
180,2017-09-22,2397475.072150001
181,2017-09-25,2369475.072150001
182,2017-09-26,2340438.7721500006
183,2017-09-27,2317659.7721500006
184,2017-09-28,2325846.1221500007
185,2017-09-29,2344249.9221500005
186,2017-10-03,2367533.2221500007
187,2017-10-04,2373743.2721500006
188,2017-10-05,2361182.072150001
189,2017-10-06,2371354.8721500007
190,2017-10-09,2375521.4721500007
191,2017-10-10,2377375.6221500007
192,2017-10-11,2375505.072150001
193,2017-10-12,2403463.1721500005
194,2017-10-13,2420658.672150001
195,2017-10-16,2435982.822150001
196,2017-10-17,2443252.7721500006
197,2017-10-18,2442313.2221500007
198,2017-10-19,2420720.4721500007
199,2017-10-23,2426224.7221500003
200,2017-10-24,2426212.1721500005
201,2017-10-25,2366845.8721500007
202,2017-10-26,2392348.1221500007
203,2017-10-27,2392257.4721500007
204,2017-10-30,2430605.072150001
205,2017-10-31,2442958.2221500007
206,2017-11-01,2462293.572150001
207,2017-11-02,2483341.4721500007
208,2017-11-03,2482212.1221500007
209,2017-11-06,2541960.4221500005
210,2017-11-07,2508455.822150001
211,2017-11-08,2500480.2721500006
212,2017-11-09,2513628.9221500005
213,2017-11-10,2498666.572150001
214,2017-11-13,2464011.5221500006
215,2017-11-14,2451484.572150001
216,2017-11-15,2449086.2221500003
217,2017-11-16,2450667.4221500005
218,2017-11-17,2488458.8721500007
219,2017-11-20,2489707.8721500007
220,2017-11-21,2523542.8721500007
221,2017-11-22,2530757.7721500006
222,2017-11-23,2517509.2221500007
223,2017-11-24,2542514.6221500007
224,2017-11-27,2545418.0721500004
225,2017-11-28,2541825.1221500007
226,2017-11-29,2541381.1721500005
227,2017-11-30,2517675.478125001
228,2017-12-01,2491764.2557250005
229,2017-12-04,2488214.1447250005
230,2017-12-05,2478822.223675001
231,2017-12-06,2438380.179450001
232,2017-12-07,2465489.229450001
233,2017-12-08,2512231.179450001
234,2017-12-11,2530261.829450001
235,2017-12-12,2501278.229450001
236,2017-12-13,2501610.529450001
237,2017-12-14,2517168.6794500006
238,2017-12-15,2560104.2294500005
239,2017-12-18,2572203.0294500007
240,2017-12-19,2592781.679450001
241,2017-12-20,2575640.279450001
242,2017-12-21,2578555.4794500014
243,2017-12-22,2585110.9294500006
244,2017-12-26,2586680.379450001
245,2017-12-27,2580270.1794500006
246,2017-12-28,2581423.7294500014
247,2017-12-29,2579133.229450001
248,2018-01-01,2551482.9294500006
249,2018-01-02,2554423.379450001
250,2018-01-03,2543948.079450001
251,2018-01-04,2568722.429450001
252,2018-01-05,2582093.279450001
253,2018-01-08,2605712.629450001
254,2018-01-09,2607101.829450001
255,2018-01-10,2594608.6294500013
256,2018-01-11,2596628.5294500007
257,2018-01-12,2593160.579450001
258,2018-01-15,2645655.129450001
259,2018-01-16,2617560.329450001
260,2018-01-17,2619850.7794500007
261,2018-01-18,2640176.9294500006
262,2018-01-19,2659201.379450001
263,2018-01-22,2660762.7794500007
264,2018-01-23,2667110.2794500003
265,2018-01-24,2669231.129450001
266,2018-01-25,2674581.3294500005
267,2018-01-29,2703959.829450001
268,2018-01-30,2701663.379450001
269,2018-01-31,2707288.379450001
270,2018-02-01,2673032.329450001
271,2018-02-02,2614245.529450001
272,2018-02-05,2562662.329450001
273,2018-02-06,2523598.379450001
274,2018-02-07,2517605.2794500007
275,2018-02-08,2549843.9294500006
276,2018-02-09,2516786.0294500007
277,2018-02-12,2542140.629450001
278,2018-02-14,2540169.829450001
279,2018-02-15,2558007.7794500007
280,2018-02-16,2537489.7794500003
281,2018-02-19,2525721.979450001
282,2018-02-20,2528462.9294500006
283,2018-02-21,2510030.2794500007
284,2018-02-22,2489658.479450001
285,2018-02-23,2513822.079450001
286,2018-02-26,2538096.579450001
287,2018-02-27,2522300.479450001
288,2018-02-28,2502948.979450001
289,2018-03-01,2506858.579450001
290,2018-03-05,2493593.9294500006
291,2018-03-06,2483274.479450001
292,2018-03-07,2470362.6794500006
293,2018-03-08,2489597.729450001
294,2018-03-09,2490449.1794500006
295,2018-03-12,2523945.5294500007
296,2018-03-13,2556017.2794500007
297,2018-03-14,2554398.279450001
298,2018-03-15,2561492.779450001
299,2018-03-16,2522709.6794500006
300,2018-03-19,2492898.0294500007
301,2018-03-20,2495248.4294500006
302,2018-03-21,2515039.079450001
303,2018-03-22,2512724.7794500007
304,2018-03-23,2494217.579450001
305,2018-03-26,2563424.1794500006
306,2018-03-27,2564376.929450001
307,2018-03-28,2564740.379450001
308,2018-04-02,2593528.579450001
309,2018-04-03,2578221.779450001
310,2018-04-04,2527068.7794500007
311,2018-04-05,2563588.379450001
312,2018-04-06,2595286.879450001
313,2018-04-09,2631072.3294500005
314,2018-04-10,2616639.379450001
315,2018-04-11,2597309.879450001
316,2018-04-12,2605013.879450001
317,2018-04-13,2599766.5794500005
318,2018-04-16,2618085.829450001
319,2018-04-17,2636548.4294500006
320,2018-04-18,2608505.479450001
321,2018-04-19,2567211.729450001
322,2018-04-20,2565872.829450001
323,2018-04-23,2568701.5294500007
324,2018-04-24,2578931.129450001
325,2018-04-25,2568605.129450001
326,2018-04-26,2578071.4294500006
327,2018-04-27,2582787.979450001
328,2018-04-30,2607577.7794500003
329,2018-05-02,2610385.379450001
330,2018-05-03,2612852.0294500007
331,2018-05-04,2617204.979450001
332,2018-05-07,2623284.129450001
333,2018-05-08,2618271.179450001
334,2018-05-09,2624628.2794500007
335,2018-05-10,2626378.179450001
336,2018-05-11,2635985.779450001
337,2018-05-14,2629670.5294500007
338,2018-05-15,2644085.629450001
339,2018-05-16,2626294.579450001
340,2018-05-17,2615711.0294500007
341,2018-05-18,2595084.529450001
342,2018-05-21,2562671.2294500005
343,2018-05-22,2563587.129450001
344,2018-05-23,2526050.579450001
345,2018-05-24,2543651.2794500007
346,2018-05-25,2570622.929450001
347,2018-05-28,2621910.479450001
