date,a2c,ddpg,td3,ppo,sac,mvo
2019-12-27,2686505.0832250016,2361903.1002250006,2456691.3043500003,2225637.283800001,2477927.3719750005,3521702.3137886077
2019-12-30,2681162.383225002,2355819.550225,2451346.60435,2217311.483800001,2476390.1219750005,3518996.2177080093
2019-12-31,2660211.533225002,2337827.6002250006,2438432.8043500003,2206585.6338000013,2458790.7719750004,3493767.8674440486
2020-01-01,2662717.4332250017,2343507.9502250003,2423414.3043500003,2211544.2838000013,2470756.3719750005,3472977.884517011
2020-01-02,2666489.6332250014,2358378.2502250005,2419312.8043500003,2215436.6338000013,2487143.6719750003,3486602.0469749784
2020-01-03,2620155.483225002,2350891.5502250004,2419418.7043500007,2199412.033800001,2460927.4219750008,3444591.015707822
2020-01-06,2568101.783225002,2308188.400225,2418018.0043500005,2163832.0838000006,2402860.5219750004,3405883.370430706
2020-01-07,2591508.233225002,2326175.2002250003,2420126.60435,2175075.733800001,2431322.1219750005,3428464.921690545
2020-01-08,2587582.3832250014,2323421.9502250003,2419348.0043500005,2179351.033800001,2424766.7219750006,3412256.8695825455
2020-01-09,2639848.383225002,2364447.100225,2452172.10435,2217929.683800001,2467524.5219750004,3479794.8490640814
2020-01-10,2662028.3332250016,2371109.9002250005,2451885.3043500003,2230441.933800001,2482793.1719750003,3483048.7479831316
2020-01-13,2676303.5832250016,2380549.7002250003,2465123.0043500005,2243911.2338000014,2492519.5219750004,3496713.668137244
2020-01-14,2693480.2332250015,2386550.250225,2467230.60435,2249400.5338000013,2510157.1719750003,3517823.2677993467
2020-01-15,2710427.4332250017,2381559.000225,2459925.60435,2253975.4838000014,2515868.3719750005,3539761.136318776
2020-01-16,2705127.233225002,2382938.800225,2473403.5043500005,2251084.983800001,2510534.9219750003,3543281.4568794924
2020-01-17,2693098.0832250016,2405810.5502250004,2517405.10435,2278471.033800001,2498957.921975,3534691.94003003
2020-01-20,2693543.133225002,2402225.3002250004,2532118.3043500003,2294647.4338000007,2491500.1719750003,3535224.05542624
2020-01-21,2651633.533225002,2393705.7002250003,2523077.7043500002,2275331.733800001,2473176.5219750004,3505930.558891413
2020-01-22,2625217.1832250017,2378532.600225,2520309.9043500004,2265069.583800001,2445891.3719750005,3480256.1496396437
2020-01-23,2631887.2332250015,2381150.300225,2523790.60435,2267412.983800001,2452919.2219749996,3512319.143551713
2020-01-24,2643345.033225002,2387792.850225,2535451.60435,2276051.2838000013,2462670.3219750007,3546112.1614080593
2020-01-27,2624412.0832250016,2402911.3002250004,2607949.4043500004,2317452.083800001,2430559.5219750004,3519763.887321486
2020-01-28,2616848.2832250013,2399036.000225,2592278.7043500007,2312781.633800001,2443488.721975001,3506979.3856695797
2020-01-29,2636177.783225002,2389004.1002250006,2569368.7043500002,2306658.8338000006,2445707.771975,3501569.8141547777
2020-01-30,2629055.483225002,2378711.6002249997,2570717.7043500002,2306193.0838000006,2438153.7719750004,3493665.358968282
2020-01-31,2623498.1332250014,2354451.250225,2551832.2043500002,2280611.183800001,2427895.0219750004,3486680.2177214343
2020-02-01,2562635.7832250013,2297315.6502250005,2530211.60435,2247311.733800001,2345631.021975001,3400199.537240196
2020-02-03,2645061.1832250017,2327051.1502250005,2547169.8043500003,2317650.533800001,2380333.3219750007,3469081.344295419
2020-02-04,2708082.0332250013,2388930.3002250004,2653012.25055,2369238.283800001,2440520.0219750004,3612358.150794057
2020-02-05,2703909.9832250015,2381857.500225,2604691.85055,2338081.183800001,2456866.6219750005,3625978.264981603
2020-02-06,2685441.683225001,2397594.9502250007,2607150.15055,2338579.083800001,2462690.1219750005,3609133.5473577813
2020-02-07,2692219.0832250016,2385857.9502250003,2616270.60055,2335516.633800001,2455011.4219750003,3613635.347043048
2020-02-10,2694505.133225002,2376153.8002250004,2595770.0505500003,2321160.8338000006,2452259.1219750005,3594692.538232184
