,a2c,ddpg,td3,ppo,sac,mvo
2020-09-16,2197822.239335001,2220400.550425,2244972.260165001,1989763.3313950023,1917189.1072050005,3051041.86791123
2020-09-17,2175269.512050001,2205092.1204250003,2238622.610165001,1984172.3503750023,1901952.2272050001,3021464.9291422637
2020-09-18,2155875.8251800006,2165107.520425,2216981.080165001,1974654.4858400028,1895837.2372050008,2966960.206059891
2020-09-21,2143020.26066,2148906.8304250003,2170044.6501650014,1950314.662320003,1833463.6472050003,2975634.9502305463
2020-09-22,2170005.184605001,2172861.8504250003,2167612.260165001,1950478.7169050027,1815859.4672050006,3023736.355115561
2020-09-23,2107327.8274800004,2103328.320425,2121722.850165001,1931307.4013000033,1782893.3672050007,2928171.3673640275
2020-09-24,2126762.530915001,2105782.7604250005,2130643.530165001,1932422.7177300034,1785451.2672050006,2943749.9876143737
2020-09-25,2167030.251765001,2164072.940425,2159229.830165001,1941743.0828800036,1807030.9772050006,3018485.9357567895
2020-09-28,2200502.1632050006,2224823.2104250006,2203489.540165001,1960252.1073650033,1852690.0272050006,3088353.396201143
2020-09-29,2173433.290230001,2206426.3004250005,2190918.000165001,1951480.0107200034,1835171.6572050003,3083769.382262026
2020-09-30,2199232.295210001,2225455.7604250005,2207531.5301650013,1955298.3440650036,1855079.9472050006,3104074.3137550903
2020-10-01,2214477.756620001,2251257.8004250005,2213222.5601650006,1955870.7730700038,1853590.4672050006,3149926.257193902
2020-10-02,2180949.785300001,2221210.5404250002,2207123.730165001,1960139.6214250037,1870732.6372050005,3083481.434688797
2020-10-05,2229569.168335001,2279734.860425,2258716.140165001,1977424.6049500033,1912610.4872050004,3171373.65871262
2020-10-06,2191341.1219200003,2220648.1704250006,2231647.840165001,1966789.9089650034,1889900.9072050005,3091736.0194281815
2020-10-07,2242610.196010001,2276735.3904250003,2280029.470165001,1988594.0249550033,1933210.0772050004,3163775.3292092253
2020-10-08,2261877.903895001,2301844.8704250003,2310443.1901650014,2001616.3164450033,1964225.3872050005,3171929.0199776418
2020-10-09,2301879.1665800004,2324615.230425,2322244.500165001,2011847.2233350035,1969386.2272050006,3188943.2280010157
2020-10-12,2353189.035460001,2377046.9704250004,2354891.890165001,2023695.8887800034,1984348.7772050004,3279687.4700266724
2020-10-13,2342329.217340001,2354634.1304250006,2322780.7801650013,2009771.451000004,1947665.3272050007,3245034.214365165
2020-10-14,2324813.0511700013,2342949.2004250004,2323579.870165001,2002935.0187250043,1941551.4472050006,3218272.31549636
2020-10-15,2326879.8517800006,2347856.530425,2333854.2801650013,2010123.0340450043,1957387.2672050006,3201086.519283428
2020-10-16,2317935.065850001,2337431.3904250003,2342632.170165001,2006031.501395004,1964653.8472050005,3155512.1067117807
2020-10-19,2274128.161955001,2311414.4104250004,2307099.610165001,1994959.253270004,1928775.2872050006,3130007.8811245942
2020-10-20,2281620.0252300003,2321420.690425,2321475.750165001,2001164.517365004,1944824.6272050007,3140139.1130174194
2020-10-21,2275567.026735001,2300327.9904250004,2304249.6001650007,1994588.844625004,1926262.2372050001,3100788.800359891
2020-10-22,2297109.2868900006,2327940.3904250003,2334688.930165001,2010885.3691100045,1976044.3772050005,3112398.7277628025
2020-10-23,2309611.2801350006,2326370.8304250003,2328547.1901650014,2008128.7257250047,1978690.8972050007,3132669.7438259856
2020-10-26,2256716.7564350003,2281715.3904250003,2288655.940165001,1989849.0153550047,1933393.2772050006,3113939.6209763912
2020-10-27,2258450.6811450007,2258364.4704250004,2244189.2001650007,1975848.6049400046,1891320.2572050004,3095398.4405517625
2020-10-28,2161022.9250000007,2177480.270425,2183671.290165001,1952415.3097750049,1838557.7372050004,2986781.6263007345
2020-10-29,2179182.262090001,2187985.8704250003,2184520.160165001,1958112.400080005,1834553.3972050005,3027920.823649041
2020-10-30,2164020.2810400007,2135122.7004250004,2162471.6801650007,1954383.1842050047,1836133.4772050004,2930337.8954361365
2020-11-02,2173410.1873900006,2150922.210425,2190337.4701650008,1964739.6223650044,1871953.9925400005,2934507.6035474003
2020-11-03,2217586.5903000007,2203530.3504250003,2234761.060165001,1988695.0593400043,1921109.3463750007,2982093.220768221
2020-11-04,2271357.6556100002,2251954.1204250003,2236747.040165001,1973688.6005000048,1878961.4860450008,3080123.5577362394
2020-11-05,2341067.000225001,2313234.0904250005,2285688.5301650013,1999816.3277950045,1929765.6360450007,3152318.549973312
2020-11-06,2330825.148040001,2309395.200425,2283506.460165001,1993786.4370550048,1908949.386045001,3176497.919750303
2020-11-09,2363739.042125001,2376053.400425,2375189.7601650013,2059048.1227700044,2094925.466045001,3153693.366879648
2020-11-10,2314491.6550550004,2360534.270425,2385499.3601650014,2060425.9987600045,2099834.511005,3111330.247254475
2020-11-11,2347174.4360150006,2385232.070425,2401879.810165001,2052129.5132800043,2079278.2279800007,3172526.1807648633
2020-11-12,2325732.624715001,2352304.2204250004,2374011.150165001,2035342.0966250044,2045798.3379800008,3154843.5746933315
2020-11-13,2345568.819855001,2397757.9204250006,2409410.920165001,2054065.377790004,2083025.8179800007,3181736.434839888
2020-11-16,2367082.8633500007,2462996.3304250003,2462259.790165001,2074039.1891200044,2141026.1979800006,3239986.563967094
2020-11-17,2346776.5586850005,2467435.1004250003,2449721.980165001,2075545.5093350043,2129474.7879800005,3237714.0337623646
2020-11-18,2310678.0013100007,2431379.490425,2426052.890165001,2064947.2579600043,2107697.7079800004,3199686.3848236175
