,date,account_value
359,2020-06-05,2185735.743745001
360,2020-06-08,2211903.4378550006
361,2020-06-09,2195980.5623550005
362,2020-06-10,2194502.083865001
363,2020-06-11,2055050.5122800006
364,2020-06-12,2088408.3436600005
365,2020-06-15,2113993.4754500003
366,2020-06-16,2155911.8188100006
367,2020-06-17,2145287.0694200005
368,2020-06-18,2157859.6152550005
369,2020-06-19,2160919.407025001
370,2020-06-22,2177351.7418100005
371,2020-06-23,2190679.3941100007
372,2020-06-24,2128585.7782450006
373,2020-06-25,2164816.0499300007
374,2020-06-26,2100074.565480001
375,2020-06-29,2124353.719840001
376,2020-06-30,2171138.439455
377,2020-07-01,2162248.706995001
378,2020-07-02,2174295.941720001
379,2020-07-06,2220979.4503900013
380,2020-07-07,2184349.7005500006
381,2020-07-08,2219050.172535001
382,2020-07-09,2202976.9143000008
383,2020-07-10,2236808.304355001
384,2020-07-13,2205319.4884850006
385,2020-07-14,2217162.3234700006
386,2020-07-15,2231011.2618700005
387,2020-07-16,2206299.4940300006
388,2020-07-17,2181089.4692450007
389,2020-07-20,2227261.436590001
390,2020-07-21,2226406.4693300007
391,2020-07-22,2242993.490050001
392,2020-07-23,2190059.3155300007
393,2020-07-24,2176204.955420001
394,2020-07-27,2184072.287650001
395,2020-07-28,2173049.495790001
396,2020-07-29,2206630.304165001
397,2020-07-30,2192823.7772800005
398,2020-07-31,2204626.920790001
399,2020-08-03,2277415.444365001
400,2020-08-04,2251478.467970001
401,2020-08-05,2264470.1331950007
402,2020-08-06,2281251.315825001
403,2020-08-07,2275381.4457400003
404,2020-08-10,2250614.2393850004
405,2020-08-11,2227205.563695001
406,2020-08-12,2264187.394675001
407,2020-08-13,2250329.359690001
408,2020-08-14,2255927.7535000006
409,2020-08-17,2254327.221975001
410,2020-08-18,2259032.3631800013
411,2020-08-19,2248072.4777700007
412,2020-08-20,2266460.5313850003
413,2020-08-21,2250822.2275850005
414,2020-08-24,2275465.551935001
415,2020-08-25,2292468.830430001
416,2020-08-26,2316959.5449550007
417,2020-08-27,2363676.0823300006
418,2020-08-28,2384279.7932200003
419,2020-08-31,2347769.2646800005
420,2020-09-01,2365335.1014750004
421,2020-09-02,2408474.8308500005
422,2020-09-03,2297587.067510001
423,2020-09-04,2283528.980230001
424,2020-09-08,2179773.788680001
425,2020-09-09,2239399.6571000004
426,2020-09-10,2182054.527915001
427,2020-09-11,2183237.467690001
428,2020-09-14,2201716.0265050004
429,2020-09-15,2214641.1954100006
430,2020-09-16,2197822.239335001
431,2020-09-17,2175269.512050001
432,2020-09-18,2155875.8251800006
433,2020-09-21,2143020.26066
434,2020-09-22,2170005.184605001
435,2020-09-23,2107327.8274800004
436,2020-09-24,2126762.530915001
437,2020-09-25,2167030.251765001
438,2020-09-28,2200502.1632050006
439,2020-09-29,2173433.290230001
440,2020-09-30,2199232.295210001
441,2020-10-01,2214477.756620001
442,2020-10-02,2180949.785300001
443,2020-10-05,2229569.168335001
444,2020-10-06,2191341.1219200003
445,2020-10-07,2242610.196010001
446,2020-10-08,2261877.903895001
447,2020-10-09,2301879.1665800004
448,2020-10-12,2353189.035460001
449,2020-10-13,2342329.217340001
450,2020-10-14,2324813.0511700013
451,2020-10-15,2326879.8517800006
452,2020-10-16,2317935.065850001
453,2020-10-19,2274128.161955001
454,2020-10-20,2281620.0252300003
455,2020-10-21,2275567.026735001
456,2020-10-22,2297109.2868900006
457,2020-10-23,2309611.2801350006
458,2020-10-26,2256716.7564350003
459,2020-10-27,2258450.6811450007
460,2020-10-28,2161022.9250000007
461,2020-10-29,2179182.262090001
462,2020-10-30,2164020.2810400007
463,2020-11-02,2173410.1873900006
464,2020-11-03,2217586.5903000007
465,2020-11-04,2271357.6556100002
466,2020-11-05,2341067.000225001
467,2020-11-06,2330825.148040001
468,2020-11-09,2363739.042125001
469,2020-11-10,2314491.6550550004
470,2020-11-11,2347174.4360150006
471,2020-11-12,2325732.624715001
472,2020-11-13,2345568.819855001
473,2020-11-16,2367082.8633500007
474,2020-11-17,2346776.5586850005
475,2020-11-18,2310678.0013100007
476,2020-11-19,2320007.2612100006
477,2020-11-20,2297555.792585001
478,2020-11-23,2305761.4615500006
479,2020-11-24,2361561.200980001
480,2020-11-25,2355723.448735001
481,2020-11-27,2359512.4227100005
482,2020-11-30,2338314.3301800005
483,2020-12-01,2371961.462900001
484,2020-12-02,2376462.2036050004
485,2020-12-03,2371179.2174050002
486,2020-12-04,2383379.223495001
487,2020-12-07,2374060.557745001
488,2020-12-08,2389647.766860001
489,2020-12-09,2357349.9261100003
490,2020-12-10,2351582.205445001
491,2020-12-11,2369063.522045001
492,2020-12-14,2358572.8209450007
493,2020-12-15,2367930.7033100007
494,2020-12-16,2403415.0632400005
495,2020-12-17,2407064.7093850006
496,2020-12-18,2392376.2364600007
497,2020-12-21,2422984.8455650005
498,2020-12-22,2431433.504975001
499,2020-12-23,2425618.487315001
500,2020-12-24,2432961.7936800006
501,2020-12-28,2459380.5708450004
502,2020-12-29,2454107.2668400006
503,2020-12-30,2439065.449790001
504,2020-12-31,2447722.852180001
505,2021-01-04,2406551.1813500007
506,2021-01-05,2416368.8513500006
507,2021-01-06,2416602.841350001
508,2021-01-07,2465932.5313500008
509,2021-01-08,2467039.881350001
510,2021-01-11,2451853.6313500004
511,2021-01-12,2444121.7413500007
512,2021-01-13,2450671.5113500003
513,2021-01-14,2432254.081350001
514,2021-01-15,2410569.2113500005
515,2021-01-19,2438998.1413500006
516,2021-01-20,2471345.2413500007
517,2021-01-21,2471990.4406300006
518,2021-01-22,2477923.3102450008
519,2021-01-25,2497519.8210400008
520,2021-01-26,2519160.8010400007
521,2021-01-27,2483643.5410400005
522,2021-01-28,2534448.961040001
